Date,lon,lat
2010-01-14,-153.1500,30.8000
2010-01-15,-151.0167,32.7000
2010-01-15,-144.6333,37.7667
2010-01-16,-142.4833,38.2167
2010-01-17,-154.7333,33.3667
2010-01-17,-154.8833,33.5167
2010-01-18,-153.2667,35.2167
2010-01-28,-153.2667,35.2167
2010-01-28,-151.7833,36.1000
2010-01-29,-155.9333,32.3333
2010-01-29,-157.4333,31.6000
2010-01-30,-151.5000,36.2167
2010-01-31,-148.6000,37.1833
2010-01-31,-157.9833,23.2500
2010-02-02,-157.0833,27.1167
2010-02-02,-156.0833,29.6500
2010-02-04,-156.0833,29.6500
2010-02-08,-155.0833,33.9000
2010-02-08,-155.0833,33.9000
2010-02-08,-154.5167,35.4500
2010-02-08,-150.9500,37.7333
2010-02-08,-145.0333,41.4333
2010-02-08,-143.2167,41.9833
2010-02-08,-156.9333,26.3833
2010-02-08,-155.5167,27.8833
2010-02-09,-153.5667,29.5500
2010-02-09,-151.3333,31.1167
2010-02-12,-149.7333,32.7000
2010-02-12,-146.9333,36.2500
2010-02-12,-146.0167,37.6333
2010-03-02,-143.3333,37.8667
2010-03-02,-141.0167,38.0833
2010-03-02,-137.6833,38.1667
2010-03-04,-134.7667,38.3167
2010-03-08,-132.2000,38.1500
2010-03-08,-156.8833,23.2500
2010-03-08,-155.1833,24.5333
2010-03-08,-153.3167,26.1167
2010-03-08,-151.3333,27.8333
2010-03-08,-149.9500,29.9667
2010-03-08,-148.8500,32.2667
2010-03-08,-147.7333,34.7167
2010-03-08,-146.3667,36.4000
2010-03-09,-143.9167,36.7167
2010-03-09,-141.3000,36.7500
2010-03-12,-138.7667,36.9000
2010-03-12,-135.8333,37.3167
2010-03-19,-148.9833,36.5500
2010-03-22,-146.6167,36.6333
2010-03-22,-157.9667,24.5333
2010-03-23,-156.6833,28.7167
2010-03-23,-153.5833,31.5667
2010-03-26,-151.5167,34.5833
2010-03-31,-148.8833,37.2500
2010-04-08,-147.3167,39.3333
2010-04-08,-142.8500,39.2167
2010-04-08,-138.6878,38.8025
2010-04-08,-134.1000,38.8500
2010-04-08,-130.1333,38.5833
2010-04-08,-125.3167,39.1000
2010-04-09,-157.4175,28.2650
2010-04-09,-156.0402,33.9758
2010-04-12,-155.2740,36.5049
2010-04-12,-156.6750,37.4767
2010-05-08,-152.4833,37.5417
2010-05-08,-152.2349,37.5277
2010-05-08,-145.2667,37.2667
2010-05-08,-159.5167,31.1333
2010-05-08,-159.1667,34.1833
2010-05-09,-158.2167,36.1833
2010-05-12,-156.9667,29.8167
2010-05-12,-156.5667,30.9333
2010-06-08,-155.6667,32.9000
2010-06-08,-154.6500,32.3833
2010-06-08,-151.3333,33.9833
2010-06-08,-148.8167,35.9833
2010-06-08,-146.0333,37.3833
2010-06-08,-142.0333,37.1000
2010-06-08,-157.3422,26.0945
2010-06-12,-150.9315,36.3092
